n,number_of_clusters,does_span,total_cluster_area,occupation_prob
1,1,False,4.6105156663380775e-15,6.666222251849876e-05
2,2,False,1.8294075137981147e-12,0.00013332444503699753
3,3,False,1.8444261690793597e-12,0.0001999866675554963
4,4,False,6.665799929081524e-09,0.00026664889007399506
5,5,False,6.665806361436764e-09,0.00033331111259249385
6,6,False,6.6658089689308e-09,0.0003999733351109926
7,7,False,6.759856466273757e-09,0.0004666355576294914
8,8,False,8.16828207001961e-09,0.0005332977801479901
9,9,False,8.169187667511254e-09,0.0005999600026664889
10,10,False,1.0628751929753282e-08,0.0006666222251849877
11,11,False,1.063226236069903e-08,0.0007332844477034864
12,12,False,1.1086102852894592e-08,0.0007999466702219852
13,13,False,1.1090079486960054e-08,0.000866608892740484
14,14,False,1.1120994673063915e-08,0.0009332711152589828
15,15,False,1.1123437017744278e-08,0.0009999333377774815
16,16,False,1.5058865689137972e-08,0.0010665955602959802
17,17,False,6.828820946999134e-08,0.001133257782814479
18,18,False,6.828851516415648e-08,0.0011999200053329777
19,19,False,6.830563684226158e-08,0.0012665822278514767
20,20,False,6.850147438855654e-08,0.0013332444503699754
21,21,False,6.850147494522046e-08,0.0013999066728884741
22,22,False,3.0638544674272823e-07,0.0014665688954069729
23,23,False,3.103745613284859e-07,0.0015332311179254716
24,24,False,3.1098572864723786e-07,0.0015998933404439703
25,25,False,3.109857286474752e-07,0.001666555562962469
26,26,False,3.111396090418155e-07,0.001733217785480968
27,27,False,3.120177250803398e-07,0.0017998800079994668
28,28,False,3.120177252797641e-07,0.0018665422305179655
29,29,False,3.6576818994386567e-07,0.0019332044530364642
30,30,False,3.928986433627395e-07,0.001999866675554963
31,31,False,3.950509389684602e-07,0.0020665288980734617
32,32,False,3.950747639607158e-07,0.0021331911205919605
33,33,False,3.9518445899872325e-07,0.002199853343110459
34,34,False,3.951875276937771e-07,0.002266515565628958
35,35,False,2.632335681299965e-05,0.0023331777881474567
36,36,False,2.6323356815180194e-05,0.0023998400106659554
37,37,False,2.6323391377784895e-05,0.0024665022331844546
38,38,False,2.6326942430334627e-05,0.0025331644557029533
39,39,False,2.634524927688659e-05,0.002599826678221452
40,40,False,2.6346699642477567e-05,0.002666488900739951
41,41,False,2.634669964297472e-05,0.0027331511232584495
42,42,False,2.6346738142204513e-05,0.0027998133457769483
43,43,False,2.6346738142204513e-05,0.002866475568295447
44,44,False,2.634676740459931e-05,0.0029331377908139457
45,45,False,2.634676740487237e-05,0.0029998000133324445
46,46,False,2.640193273297906e-05,0.003066462235850943
47,47,False,2.640193532464789e-05,0.003133124458369442
48,48,False,2.6401946295068997e-05,0.0031997866808879407
49,49,False,2.6401992410981444e-05,0.0032664489034064394
50,50,False,2.6402469087381242e-05,0.003333111125924938
51,51,False,2.6402473674344443e-05,0.003399773348443437
52,52,False,2.640248370212772e-05,0.003466435570961936
53,53,False,2.6402819782223898e-05,0.003533097793480435
54,54,False,2.6405268827701926e-05,0.0035997600159989335
55,55,False,2.702750919863355e-05,0.0036664222385174323
56,56,False,2.702750942666202e-05,0.003733084461035931
57,57,False,2.7027795501242218e-05,0.0037997466835544298
58,58,False,2.7028012556637187e-05,0.0038664089060729285
59,59,False,2.702901118550664e-05,0.003933071128591427
60,60,False,2.7029087921486303e-05,0.003999733351109926
61,61,False,2.7035227714877087e-05,0.004066395573628425
62,62,False,2.70352291572725e-05,0.0041330577961469234
63,63,False,2.7035229160256032e-05,0.004199720018665422
64,64,False,2.703522918345546e-05,0.004266382241183921
65,65,False,2.7035231352156726e-05,0.00433304446370242
66,65,False,2.7035231352156726e-05,0.004399706686220918
67,66,False,2.7035235607149606e-05,0.004466368908739417
68,67,False,2.7035235618766883e-05,0.004533031131257916
69,68,False,2.7036127605088337e-05,0.004599693353776415
70,69,False,2.703612760611294e-05,0.004666355576294913
71,70,False,2.7058688814417706e-05,0.004733017798813412
72,71,False,2.7058688863350925e-05,0.004799680021331911
73,72,False,2.7058707674607663e-05,0.0048663422438504095
74,73,False,2.714286101914093e-05,0.004933004466368909
75,74,False,2.714286102629897e-05,0.004999666688887408
76,75,False,2.71428610746748e-05,0.005066328911405907
77,76,False,2.714286161333981e-05,0.005132991133924405
78,77,False,2.7142894638024536e-05,0.005199653356442904
79,78,False,2.7142914984495433e-05,0.005266315578961403
80,79,False,2.7142917207098404e-05,0.005332977801479902
81,80,False,2.7142928320226742e-05,0.0053996400239984
82,81,False,2.714506317828643e-05,0.005466302246516899
83,82,False,2.7265811512626666e-05,0.005532964469035398
84,83,False,2.7265828850407116e-05,0.0055996266915538965
85,84,False,2.7266591486714198e-05,0.005666288914072395
86,84,False,2.7266594145575986e-05,0.005732951136590894
87,85,False,2.7267174551078142e-05,0.005799613359109393
88,86,False,2.72701748327398e-05,0.0058662755816278915
89,87,False,2.727018959465351e-05,0.00593293780414639
90,88,False,0.00011102322347929747,0.005999600026664889
91,89,False,0.00011102328639463934,0.006066262249183388
92,90,False,0.00011102328701238589,0.006132924471701886
93,91,False,0.00011102329573062786,0.006199586694220385
94,92,False,0.00011324944570267721,0.006266248916738884
95,93,False,0.00011326050784655151,0.006332911139257383
96,94,False,0.00011326051538426235,0.006399573361775881
97,95,False,0.00011330932729465622,0.00646623558429438
98,96,False,0.00011330932731142714,0.006532897806812879
99,97,False,0.00011336146372106887,0.006599560029331378
100,98,False,0.00011336458350436945,0.006666222251849876
101,99,False,0.00011336458371538827,0.006732884474368375
102,100,False,0.00011336458582052682,0.006799546696886874
103,101,False,0.0015572202520082992,0.006866208919405373
104,102,False,0.0015572229197160354,0.006932871141923872
105,103,False,0.001559043797251579,0.006999533364442371
106,104,False,0.001559043797294057,0.00706619558696087
107,105,False,0.0015649078392049444,0.007132857809479368
108,105,False,0.0015649496742053508,0.007199520031997867
109,105,False,0.0015649496749847022,0.007266182254516366
110,106,False,0.0015649499682412263,0.0073328444770348646
111,107,False,0.0015649499682515186,0.007399506699553363
112,108,False,0.0015649505938490434,0.007466168922071862
113,108,False,0.001565003245947628,0.007532831144590361
114,109,False,0.0015659130410013964,0.0075994933671088595
115,110,False,0.0015659131146588086,0.007666155589627358
116,111,False,0.0015659131191939355,0.007732817812145857
117,112,False,0.0015659131504039412,0.007799480034664356
118,113,False,0.00156614146875943,0.007866142257182854
119,114,False,0.0015671400541308151,0.007932804479701353
120,114,False,0.0015671439249119554,0.007999466702219852
121,115,False,0.0015673648368099897,0.00806612892473835
122,115,False,0.0015673648445171874,0.00813279114725685
123,116,False,0.0015673648451845147,0.008199453369775348
124,117,False,0.0015673648452218982,0.008266115592293847
125,118,False,0.0015673687787961165,0.008332777814812346
126,119,False,0.001567368809352083,0.008399440037330844
127,120,False,0.0015673691021377521,0.008466102259849343
128,121,False,0.001567371829977172,0.008532764482367842
129,121,False,0.0015673723560681513,0.00859942670488634
130,122,False,0.0015673779517987247,0.00866608892740484
131,123,False,0.0015673779557725212,0.008732751149923338
132,124,False,0.0015682385684315898,0.008799413372441837
133,125,False,0.0015682400941200824,0.008866075594960336
134,126,False,0.001568240098505256,0.008932737817478834
135,127,False,0.00156824341388343,0.008999400039997333
136,128,False,0.0015682434138835275,0.009066062262515832
137,129,False,0.0015683023812256794,0.00913272448503433
138,130,False,0.001615165420796774,0.00919938670755283
139,131,False,0.001615165424761765,0.009266048930071328
140,132,False,0.001615373077099031,0.009332711152589827
141,133,False,0.001615373084038148,0.009399373375108325
142,134,False,0.001615377332575849,0.009466035597626824
143,135,False,0.0016153773325849547,0.009532697820145323
144,136,False,0.00161537913890648,0.009599360042663822
145,137,False,0.001615379139499633,0.00966602226518232
146,138,False,0.001615383006175806,0.009732684487700819
147,139,False,0.0016153830101173167,0.00979934671021932
148,140,False,0.0016153890067991765,0.009866008932737818
149,141,False,0.0016153950249911601,0.009932671155256317
150,142,False,0.0016153963316866153,0.009999333377774816
151,143,False,0.0016153991449385672,0.010065995600293315
152,144,False,0.0016153991449386982,0.010132657822811813
153,145,False,0.0016154033939229139,0.010199320045330312
154,146,False,0.0016154033939495464,0.01026598226784881
155,147,False,0.001615403455109135,0.01033264449036731
156,148,False,0.0016154034583391983,0.010399306712885808
157,149,False,0.0016154034594903844,0.010465968935404307
158,150,False,0.0016154037177124895,0.010532631157922806
159,151,False,0.0016154037930491984,0.010599293380441304
160,152,False,0.0016154053230524844,0.010665955602959803
161,153,False,0.0016186542696423453,0.010732617825478302
162,154,False,0.0016520119006475818,0.0107992800479968
163,155,False,0.0016520769529538614,0.0108659422705153
164,156,False,0.0016520769880572397,0.010932604493033798
165,157,False,0.001652077168136396,0.010999266715552297
166,158,False,0.0016689334838527125,0.011065928938070796
167,159,False,0.0016689483463861814,0.011132591160589294
168,159,False,0.0016689512674958702,0.011199253383107793
169,160,False,0.0016689512674973879,0.011265915605626292
170,161,False,0.0016689512741994731,0.01133257782814479
171,162,False,0.001668951446715221,0.01139924005066329
172,163,False,0.0016689514592112876,0.011465902273181788
173,164,False,0.0016689519948740535,0.011532564495700287
174,165,False,0.0016689519954608903,0.011599226718218785
175,166,False,0.0016689520155249557,0.011665888940737284
176,167,False,0.0016689629607138361,0.011732551163255783
177,168,False,0.0016689634714247101,0.011799213385774282
178,169,False,0.0016689634714247106,0.01186587560829278
179,170,False,0.0016689634714247238,0.01193253783081128
180,171,False,0.001668963473547809,0.011999200053329778
181,172,False,0.0016689638872126942,0.012065862275848277
182,173,False,0.0016689640370776216,0.012132524498366775
183,174,False,0.0016689640444389473,0.012199186720885274
184,175,False,0.0016689642257049732,0.012265848943403773
185,176,False,0.0016689779028416633,0.012332511165922272
186,177,False,0.00166897790284826,0.01239917338844077
187,178,False,0.0016707652066971018,0.012465835610959269
188,179,False,0.0016707652068345233,0.012532497833477768
189,180,False,0.0016707652215289161,0.012599160055996267
190,181,False,0.001670765221537698,0.012665822278514765
191,182,False,0.0016707652215377001,0.012732484501033264
192,183,False,0.0016707652216375942,0.012799146723551763
193,183,False,0.0016707652216470888,0.012865808946070261
194,184,False,0.0016707652457398046,0.01293247116858876
195,185,False,0.0016707652544878985,0.012999133391107259
196,186,False,0.001670765262896917,0.013065795613625758
197,187,False,0.001670834462657781,0.013132457836144256
198,188,False,0.0016708344626577833,0.013199120058662755
199,189,False,0.0016708344627443105,0.013265782281181254
200,190,False,0.0016708344658535536,0.013332444503699753
201,190,False,0.0016716899050397476,0.013399106726218251
202,191,False,0.0016716899234701832,0.01346576894873675
203,192,False,0.001671690030362576,0.013532431171255249
204,193,False,0.0016716900307751246,0.013599093393773748
205,194,False,0.0016716900307752118,0.013665755616292246
206,195,False,0.0017062602330844704,0.013732417838810747
207,196,False,0.001706261707420702,0.013799080061329246
208,197,False,0.0017062630933500553,0.013865742283847744
209,198,False,0.0017062678952343637,0.013932404506366243
210,199,False,0.0017062680473282138,0.013999066728884742
211,200,False,0.001706268047329753,0.01406572895140324
212,201,False,0.0017062722660552174,0.01413239117392174
213,202,False,0.0017062723991109474,0.014199053396440238
214,203,False,0.001706275822061445,0.014265715618958737
215,204,False,0.001706275822867346,0.014332377841477235
216,205,False,0.00170671734677166,0.014399040063995734
217,206,False,0.0017067575192484352,0.014465702286514233
218,206,False,0.0017067575192489576,0.014532364509032732
219,207,False,0.0017067575864221016,0.01459902673155123
220,208,False,0.0017067575865800757,0.014665688954069729
221,209,False,0.0017068782257096992,0.014732351176588228
222,210,False,0.0017096844759082054,0.014799013399106727
223,211,False,0.001710032154340437,0.014865675621625225
224,212,False,0.001710032163408367,0.014932337844143724
225,213,False,0.0017100321661782667,0.014999000066662223
226,214,False,0.0017100321661782673,0.015065662289180722
227,215,False,0.0017100322223598172,0.01513232451169922
228,215,False,0.001710032222359987,0.015198986734217719
229,216,False,0.0017100327939464823,0.015265648956736218
230,217,False,0.0017100327939646616,0.015332311179254716
231,218,False,0.0017100327939656196,0.015398973401773215
232,219,False,0.0017100327950977472,0.015465635624291714
233,220,False,0.0017100328034356466,0.015532297846810213
234,221,False,0.0017215448708639898,0.015598960069328711
235,222,False,0.0017216957989823415,0.01566562229184721
236,223,False,0.0017710266190061109,0.01573228451436571
237,224,False,0.0020412947999292595,0.015798946736884208
238,225,False,0.0020412948877707587,0.015865608959402706
239,226,False,0.0020412948881540524,0.015932271181921205
240,227,False,0.0020412948915451584,0.015998933404439704
241,228,False,0.0021528471168221204,0.016065595626958203
242,228,False,0.0021738369760528316,0.0161322578494767
243,229,False,0.00217383697620561,0.0161989200719952
244,230,False,0.0021738370062785372,0.0162655822945137
245,231,False,0.002173837006617594,0.016332244517032198
246,232,False,0.002173837008747958,0.016398906739550696
247,232,False,0.0021738390002962456,0.016465568962069195
248,233,False,0.002173850691053178,0.016532231184587694
249,234,False,0.0021738510930557828,0.016598893407106192
250,235,False,0.0021738511322544943,0.01666555562962469
251,235,False,0.002173851197803749,0.01673221785214319
252,236,False,0.002178629510714564,0.01679888007466169
253,237,False,0.0021832158143596345,0.016865542297180187
254,238,False,0.0021832158144152324,0.016932204519698686
255,239,False,0.002184633621184223,0.016998866742217185
256,240,False,0.002184633698364018,0.017065528964735684
257,241,False,0.0022507909579741,0.017132191187254182
258,242,False,0.0022507909581327367,0.01719885340977268
259,243,False,0.0022507910091685212,0.01726551563229118
260,244,False,0.0022507910252969263,0.01733217785480968
261,245,False,0.0022507910313073025,0.017398840077328177
262,246,False,0.0022507910336688835,0.017465502299846676
263,247,False,0.0022605332957312085,0.017532164522365175
264,248,False,0.0022605332959630573,0.017598826744883674
265,249,False,0.002260533296966909,0.017665488967402172
266,250,False,0.0022605334813020276,0.01773215118992067
267,251,False,0.0022605507279779354,0.01779881341243917
268,252,False,0.0022605507279779805,0.01786547563495767
269,253,False,0.0022605520859695686,0.017932137857476167
270,254,False,0.0022605520860103914,0.017998800079994666
271,255,False,0.0022605520947779315,0.018065462302513165
272,256,False,0.002260552094778219,0.018132124525031663
273,257,False,0.002260552094780058,0.018198786747550162
274,258,False,0.002260552094803085,0.01826544897006866
275,259,False,0.002260552095528218,0.01833211119258716
276,260,False,0.0022605523331984804,0.01839877341510566
277,261,False,0.0022605523713186927,0.018465435637624157
278,262,False,0.002260558427884215,0.018532097860142656
279,263,False,0.0022605584404456853,0.018598760082661155
280,263,False,0.002260558446666504,0.018665422305179653
281,264,False,0.002260558446697276,0.018732084527698152
282,265,False,0.002260558446736814,0.01879874675021665
283,266,False,0.0022605593256303756,0.01886540897273515
284,267,False,0.0022605593256640605,0.01893207119525365
285,268,False,0.0022605594457471415,0.018998733417772147
286,269,False,0.0022605594732478035,0.019065395640290646
287,270,False,0.002260559480694784,0.019132057862809144
288,271,False,0.002260700269275837,0.019198720085327643
289,272,False,0.0022607005300848836,0.019265382307846142
290,273,False,0.0022607005300935234,0.01933204453036464
291,274,False,0.0022607005302730547,0.01939870675288314
292,275,False,0.0022607005304317433,0.019465368975401638
293,276,False,0.0022607006657959167,0.01953203119792014
294,277,False,0.002260725874014839,0.01959869342043864
295,278,False,0.002270968575376674,0.019665355642957138
296,279,False,0.002270968575667895,0.019732017865475637
297,279,False,0.0022709685760949772,0.019798680087994135
298,280,False,0.0022709685761065543,0.019865342310512634
299,281,False,0.002270972287453521,0.019932004533031133
300,281,False,0.0022725181068882308,0.01999866675554963
301,280,False,0.002272519342065157,0.02006532897806813
